variable,desc
term,The number of payments on the loan. Values are in months and can be either 36 or 60.
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
purpose,A category provided by the borrower for the loan request.
initial_list_status,"The initial listing status of the loan. Possible values are – W, F"
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
int_rate,Interest Rate on the loan
installment,The monthly payment owed by the borrower if the loan originates.
dti,"A ratio calculated using the borrower's total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower's self-reported monthly income."
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
mths_since_last_delinq,The number of months since the borrower's last delinquency.
mths_since_last_record,The number of months since the last public record.
open_acc,The number of open credit lines in the borrower's credit file.
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_acc,The total number of credit lines currently in the borrower's credit file
total_rec_prncp,Principal received to date
total_rec_int,Interest received to date
last_pymnt_amnt,Last total payment amount received
mths_since_last_major_derog,Months since most recent 90-day or worse rating
tot_cur_bal,Total current balance of all accounts
total_rev_hi_lim,Total revolving high credit/credit limit
