"variable","bin","count","count_distr","neg","pos","posprob","woe","bin_iv","total_iv","points"
"term","36 months",14739,0.68,11484,3255,0.22,-0.19,0.02,0.07,-39
"term","60 months",6845,0.32,4578,2267,0.33,0.36,0.05,0.07,73
"emp_length","missing",1110,0.05,727,383,0.35,0.43,0.01,0.03,-16
"emp_length","10+ years",7216,0.33,5641,1575,0.22,-0.21,0.01,0.03,8
"emp_length","8 years%,%9 years",1940,0.09,1482,458,0.24,-0.11,0,0.03,4
"emp_length","6 years%,%3 years%,%2 years%,%7 years",5571,0.26,4130,1441,0.26,0.01,0,0.03,-1
"emp_length","4 years%,%5 years%,%< 1 year%,%1 year",5747,0.27,4082,1665,0.29,0.17,0.01,0.03,-6
"home_ownership","MORTGAGE",10411,0.48,8214,2197,0.21,-0.25,0.03,0.06,4
"home_ownership","OWN",2431,0.11,1832,599,0.25,-0.05,0,0.06,1
"home_ownership","RENT",8742,0.41,6016,2726,0.31,0.28,0.03,0.06,-5
"purpose","house%,%home_improvement%,%car",1782,0.08,1414,368,0.21,-0.28,0.01,0.02,-4
"purpose","credit_card",3716,0.17,2847,869,0.23,-0.12,0,0.02,-2
"purpose","other%,%debt_consolidation%,%vacation",14896,0.69,10999,3897,0.26,0.03,0,0.02,0
"purpose","moving%,%major_purchase%,%medical%,%small_business%,%renewable_energy%,%wedding",1190,0.06,802,388,0.33,0.34,0.01,0.02,4
"initial_list_status","w",11291,0.52,8750,2541,0.23,-0.17,0.01,0.03,5
"initial_list_status","f",10293,0.48,7312,2981,0.29,0.17,0.01,0.03,-5
"loan_amnt","[-Inf,5000)",2155,0.1,1756,399,0.19,-0.41,0.02,0.03,423
"loan_amnt","[5000,10000)",4918,0.23,3820,1098,0.22,-0.18,0.01,0.03,183
"loan_amnt","[10000,10500)",1492,0.07,1113,379,0.25,-0.01,0,0.03,10
"loan_amnt","[10500, Inf)",13019,0.6,9373,3646,0.28,0.12,0.01,0.03,-126
"int_rate","[-Inf,8)",2221,0.1,2065,156,0.07,-1.52,0.15,0.38,7
"int_rate","[8,12)",4851,0.22,4099,752,0.16,-0.63,0.07,0.38,3
"int_rate","[12,15.5)",6300,0.29,4825,1475,0.23,-0.12,0,0.38,1
"int_rate","[15.5, Inf)",8212,0.38,5073,3139,0.38,0.59,0.15,0.38,-3
"installment","[-Inf,240)",4869,0.23,3942,927,0.19,-0.38,0.03,0.04,75
"installment","[240,880)",15146,0.7,11040,4106,0.27,0.08,0,0.04,-16
"installment","[880, Inf)",1569,0.07,1080,489,0.31,0.28,0.01,0.04,-55
"dti","[-Inf,13)",6154,0.29,5050,1104,0.18,-0.45,0.05,0.15,16
"dti","[13,21)",7205,0.33,5602,1603,0.22,-0.18,0.01,0.15,6
"dti","[21,30)",5686,0.26,3925,1761,0.31,0.27,0.02,0.15,-9
"dti","[30, Inf)",2539,0.12,1485,1054,0.42,0.72,0.07,0.15,-25
"inq_last_6mths","[-Inf,1)",11593,0.54,8853,2740,0.24,-0.11,0.01,0.01,5
"inq_last_6mths","[1,2)",6257,0.29,4571,1686,0.27,0.07,0,0.01,-3
"inq_last_6mths","[2,3)",2341,0.11,1663,678,0.29,0.17,0,0.01,-7
"inq_last_6mths","[3, Inf)",1393,0.06,975,418,0.3,0.22,0,0.01,-10
"mths_since_last_delinq","missing",10659,0.49,7965,2694,0.25,-0.02,0,0.02,1
"mths_since_last_delinq","[-Inf,8)",1141,0.05,753,388,0.34,0.4,0.01,0.02,-35
"mths_since_last_delinq","[8,18)",1910,0.09,1330,580,0.3,0.24,0.01,0.02,-21
"mths_since_last_delinq","[18, Inf)",7874,0.36,6014,1860,0.24,-0.11,0,0.02,9
"mths_since_last_record","missing",17451,0.81,12969,4482,0.26,0.01,0,0,-1
"mths_since_last_record","[-Inf,58)",1323,0.06,986,337,0.25,-0.01,0,0,1
"mths_since_last_record","[58,80)",1431,0.07,1101,330,0.23,-0.14,0,0,20
"mths_since_last_record","[80, Inf)",1379,0.06,1006,373,0.27,0.08,0,0,-11
"open_acc","[-Inf,7)",3019,0.14,2198,821,0.27,0.08,0,0,3
"open_acc","[7,8)",1591,0.07,1199,392,0.25,-0.05,0,0,-2
"open_acc","[8,16)",12344,0.57,9146,3198,0.26,0.02,0,0,1
"open_acc","[16,21)",3028,0.14,2321,707,0.23,-0.12,0,0,-4
"open_acc","[21, Inf)",1602,0.07,1198,404,0.25,-0.02,0,0,-1
"revol_util","missing",13,0,10,3,0.23,-0.14,0,0.1,2
"revol_util","[-Inf,30)",4980,0.23,4104,876,0.18,-0.48,0.05,0.1,6
"revol_util","[30,40)",2700,0.13,2118,582,0.22,-0.22,0.01,0.1,3
"revol_util","[40,55)",4337,0.2,3269,1068,0.25,-0.05,0,0.1,1
"revol_util","[55,80)",6322,0.29,4487,1835,0.29,0.17,0.01,0.1,-2
"revol_util","[80, Inf)",3232,0.15,2074,1158,0.36,0.48,0.04,0.1,-7
"total_acc","[-Inf,10)",1083,0.05,697,386,0.36,0.48,0.01,0.04,-16
"total_acc","[10,18)",4372,0.2,3085,1287,0.29,0.19,0.01,0.04,-6
"total_acc","[18,28)",7202,0.33,5299,1903,0.26,0.04,0,0.04,-1
"total_acc","[28, Inf)",8927,0.41,6981,1946,0.22,-0.21,0.02,0.04,7
"total_rec_prncp","[-Inf,1000)",3025,0.14,49,2976,0.98,5.17,2.77,7.86,-607
"total_rec_prncp","[1000,2000)",1837,0.09,286,1551,0.84,2.76,0.73,7.86,-323
"total_rec_prncp","[2000,5000)",2435,0.11,1536,899,0.37,0.53,0.04,7.86,-62
"total_rec_prncp","[5000,8500)",3149,0.15,3067,82,0.03,-2.55,0.45,7.86,299
"total_rec_prncp","[8500, Inf)",11138,0.52,11124,14,0,-5.61,3.87,7.86,658
"total_rec_int","[-Inf,200)",5235,0.24,4415,820,0.16,-0.62,0.08,0.16,167
"total_rec_int","[200,600)",6867,0.32,5291,1576,0.23,-0.14,0.01,0.16,39
"total_rec_int","[600,1300)",5467,0.25,3836,1631,0.3,0.21,0.01,0.16,-58
"total_rec_int","[1300, Inf)",4015,0.19,2520,1495,0.37,0.55,0.06,0.16,-148
"last_pymnt_amnt","[-Inf,2000)",6841,0.32,1334,5507,0.8,2.49,2.27,7.69,-232
"last_pymnt_amnt","[2000,5000)",2011,0.09,2006,5,0,-4.93,0.61,7.69,461
"last_pymnt_amnt","[5000, Inf)",12732,0.59,12722,10,0,-6.08,4.81,7.69,568
"mths_since_last_major_derog","missing",15236,0.71,11347,3889,0.26,0,0,0.01,0
"mths_since_last_major_derog","[-Inf,25)",1294,0.06,896,398,0.31,0.26,0,0.01,-12
"mths_since_last_major_derog","[25,40)",1314,0.06,984,330,0.25,-0.02,0,0.01,1
"mths_since_last_major_derog","[40, Inf)",3740,0.17,2835,905,0.24,-0.07,0,0.01,3
"tot_cur_bal","[-Inf,140000)",13535,0.63,9633,3902,0.29,0.16,0.02,0.06,-12
"tot_cur_bal","[140000,360000)",6200,0.29,4891,1309,0.21,-0.25,0.02,0.06,18
"tot_cur_bal","[360000, Inf)",1849,0.09,1538,311,0.17,-0.53,0.02,0.06,39
"total_rev_hi_lim","[-Inf,6000)",1110,0.05,716,394,0.35,0.47,0.01,0.05,18
"total_rev_hi_lim","[6000,18000)",7074,0.33,5052,2022,0.29,0.15,0.01,0.05,6
"total_rev_hi_lim","[18000,38000)",7736,0.36,5778,1958,0.25,-0.01,0,0.05,-1
"total_rev_hi_lim","[38000,80000)",4441,0.21,3499,942,0.21,-0.24,0.01,0.05,-9
"total_rev_hi_lim","[80000, Inf)",1223,0.06,1017,206,0.17,-0.53,0.01,0.05,-20
